x_value,total_1,total_2
0,1000,1000
1,1005,1000
2,1001,998
3,997,1004
4,991,1009
5,987,1012
6,983,1013
7,980,1018
8,978,1021
9,974,1017
10,977,1017
11,975,1013
12,979,1018
13,981,1019
14,989,1015
15,986,1020
16,981,1022
17,986,1018
18,993,1016
19,998,1022
20,1003,1025
21,1009,1024
22,1008,1024
23,1007,1024
24,1014,1028
25,1020,1025
26,1020,1020
27,1015,1015
28,1018,1017
29,1012,1014
30,1014,1017
31,1008,1017
32,1002,1022
33,1003,1018
34,1010,1019
35,1005,1015
36,1013,1017
37,1010,1021
38,1012,1027
39,1010,1033
40,1018,1034
41,1021,1040
42,1018,1038
43,1025,1036
44,1027,1036
45,1029,1032
46,1025,1030
47,1029,1025
48,1023,1027
49,1025,1029
50,1029,1026
51,1025,1025
52,1027,1028
53,1022,1033
54,1028,1038
55,1029,1042
56,1030,1045
57,1033,1041
58,1038,1042
59,1038,1047
60,1042,1052
61,1037,1056
62,1031,1051
63,1028,1049
64,1023,1051
65,1028,1050
66,1026,1049
67,1034,1045
68,1028,1049
69,1031,1047
70,1037,1051
71,1042,1054
72,1045,1059
73,1047,1058
74,1050,1059
75,1048,1060
76,1049,1063
77,1055,1063
78,1054,1067
79,1056,1066
80,1058,1069
81,1053,1069
82,1059,1075
83,1059,1079
84,1056,1074
85,1064,1070
86,1069,1073
87,1067,1076
88,1062,1079
89,1058,1085
90,1053,1086
91,1049,1087
92,1054,1084
93,1048,1088
94,1043,1090
95,1037,1094
96,1042,1093
97,1043,1098
98,1049,1104
99,1052,1103
100,1052,1100
101,1047,1103
102,1045,1105
103,1053,1108
104,1050,1109
105,1047,1105
106,1043,1105
107,1045,1101
108,1046,1104
109,1042,1107
110,1039,1107
111,1045,1110
112,1042,1106
113,1038,1112
114,1041,1108
115,1039,1110
116,1034,1115
117,1032,1115
118,1038,1121
119,1036,1126
120,1030,1130
121,1032,1134
122,1038,1135
123,1045,1139
124,1040,1138
125,1047,1133
126,1045,1136
127,1042,1134
128,1039,1138
129,1038,1135
130,1043,1141
131,1038,1146
132,1038,1148
133,1040,1154
134,1035,1154
135,1040,1160
136,1045,1162
137,1045,1157
138,1046,1163
